DATE,target,population,income,gdp,unemployed_rate,mortgage_rate,emratio,permit,labor_percent,monthly_supply,house_st,msp_us,ppi_cement,ppi_concrete,all_const_emp,home_ow_rate,p_saving_rate,new_private_house,new_private_hw_under,uni_michi_sentiment
2003-01-01,11174.129,817.8,66.4,1654.0,127.652,62.5,1853.0,,4.0,186000.0,151.0,150.5,1808.0,9290.1,289412.0,5.3,68.1,82.4,1049.0,5.8
2003-01-02,11175.669411111112,817.7967741935483,66.4,1655.0967741935483,127.67374193548387,62.5,1845.774193548387,,4.016129032258065,186064.44444444444,151.0032258064516,150.56129032258065,1809.483870967742,9290.296774193548,289418.2580645161,5.296774193548387,68.10111111111111,82.31935483870969,1048.8387096774193,5.8032258064516125
2003-01-03,11177.209822222223,817.7935483870967,66.4,1656.1935483870968,127.69548387096775,62.5,1838.5483870967741,5.85,4.032258064516129,186128.88888888888,151.00645161290322,150.6225806451613,1810.967741935484,9290.493548387098,289424.51612903224,5.293548387096774,68.10222222222221,82.23870967741937,1048.6774193548388,5.806451612903226
2003-01-04,11178.750233333334,817.7903225806451,66.4,1657.2903225806451,127.71722580645161,62.5,1831.3225806451612,5.864285714285714,4.048387096774194,186193.33333333334,151.00967741935483,150.68387096774194,1812.4516129032259,9290.690322580645,289430.77419354836,5.290322580645161,68.10333333333332,82.15806451612904,1048.516129032258,5.809677419354839
2003-01-05,11180.290644444445,817.7870967741935,66.4,1658.3870967741937,127.73896774193548,62.5,1824.0967741935483,5.878571428571428,4.064516129032258,186257.77777777778,151.01290322580644,150.74516129032259,1813.9354838709678,9290.887096774193,289437.03225806454,5.287096774193548,68.10444444444444,82.07741935483871,1048.3548387096773,5.812903225806451
2003-01-06,11181.831055555556,817.7838709677419,66.4,1659.483870967742,127.76070967741936,62.5,1816.8709677419356,5.892857142857142,4.080645161290323,186322.22222222222,151.01612903225805,150.80645161290323,1815.4193548387098,9291.083870967743,289443.29032258067,5.283870967741936,68.10555555555555,81.99677419354839,1048.1935483870968,5.816129032258065
2003-01-07,11183.371466666667,817.7806451612903,66.4,1660.5806451612902,127.78245161290323,62.5,1809.6451612903227,5.9071428571428575,4.096774193548387,186386.66666666666,151.0193548387097,150.86774193548388,1816.9032258064517,9291.28064516129,289449.5483870968,5.280645161290322,68.10666666666665,81.91612903225807,1048.032258064516,5.819354838709677
2003-01-08,11184.911877777778,817.7774193548387,66.4,1661.6774193548388,127.80419354838709,62.5,1802.4193548387098,5.921428571428572,4.112903225806452,186451.11111111112,151.0225806451613,150.92903225806452,1818.3870967741937,9291.477419354838,289455.8064516129,5.27741935483871,68.10777777777777,81.83548387096775,1047.8709677419354,5.82258064516129
2003-01-09,11186.45228888889,817.7741935483871,66.4,1662.774193548387,127.82593548387096,62.5,1795.1935483870968,5.935714285714286,4.129032258064516,186515.55555555556,151.0258064516129,150.99032258064517,1819.8709677419354,9291.674193548388,289462.06451612903,5.274193548387097,68.10888888888888,81.75483870967743,1047.7096774193549,5.825806451612904
2003-01-10,11187.9927,817.7709677419355,66.4,1663.8709677419354,127.84767741935484,62.5,1787.967741935484,5.95,4.145161290322581,186580.0,151.02903225806452,151.05161290322582,1821.3548387096773,9291.870967741936,289468.32258064515,5.2709677419354835,68.11,81.67419354838711,1047.5483870967741,5.829032258064516
2003-01-11,11189.533111111112,817.7677419354839,66.4,1664.967741935484,127.86941935483871,62.5,1780.741935483871,5.952857142857143,4.161290322580645,186644.44444444444,151.03225806451613,151.11290322580646,1822.8387096774193,9292.067741935485,289474.5806451613,5.267741935483871,68.1111111111111,81.59354838709677,1047.3870967741937,5.832258064516129
2003-01-12,11191.073522222223,817.7645161290322,66.4,1666.0645161290322,127.89116129032259,62.5,1773.516129032258,5.9557142857142855,4.17741935483871,186708.88888888888,151.03548387096774,151.1741935483871,1824.3225806451612,9292.264516129033,289480.8387096774,5.264516129032258,68.11222222222221,81.51290322580645,1047.225806451613,5.835483870967742
2003-01-13,11192.613933333334,817.7612903225806,66.4,1667.1612903225807,127.91290322580645,62.5,1766.2903225806451,5.958571428571428,4.193548387096774,186773.33333333334,151.03870967741935,151.23548387096776,1825.8064516129032,9292.46129032258,289487.0967741936,5.2612903225806456,68.11333333333333,81.43225806451613,1047.0645161290322,5.838709677419355
2003-01-14,11194.154344444445,817.758064516129,66.4,1668.258064516129,127.93464516129032,62.5,1759.0645161290322,5.961428571428572,4.209677419354839,186837.77777777778,151.04193548387096,151.2967741935484,1827.2903225806451,9292.65806451613,289493.3548387097,5.258064516129032,68.11444444444444,81.35161290322581,1046.9032258064517,5.841935483870968
2003-01-15,11195.694755555556,817.7548387096774,66.4,1669.3548387096773,127.9563870967742,62.5,1751.8387096774193,5.964285714285714,4.225806451612903,186902.22222222222,151.04516129032257,151.35806451612905,1828.774193548387,9292.854838709678,289499.6129032258,5.254838709677419,68.11555555555555,81.2709677419355,1046.741935483871,5.845161290322581
2003-01-16,11197.235166666667,817.7516129032258,66.4,1670.4516129032259,127.97812903225807,62.5,1744.6129032258063,5.967142857142857,4.241935483870968,186966.66666666666,151.04838709677418,151.4193548387097,1830.258064516129,9293.051612903226,289505.87096774194,5.251612903225807,68.11666666666666,81.19032258064517,1046.5806451612902,5.848387096774194
2003-01-17,11198.775577777778,817.7483870967742,66.4,1671.5483870967741,127.99987096774193,62.5,1737.3870967741937,5.97,4.258064516129032,187031.11111111112,151.05161290322582,151.4806451612903,1831.741935483871,9293.248387096775,289512.12903225806,5.248387096774193,68.11777777777777,81.10967741935484,1046.4193548387098,5.851612903225806
2003-01-18,11200.31598888889,817.7451612903226,66.4,1672.6451612903227,128.02161290322582,62.5,1730.1612903225807,5.961428571428571,4.274193548387097,187095.55555555556,151.05483870967743,151.54193548387096,1833.225806451613,9293.445161290323,289518.3870967742,5.245161290322581,68.11888888888889,81.02903225806452,1046.258064516129,5.854838709677419
2003-01-19,11201.8564,817.741935483871,66.4,1673.741935483871,128.04335483870966,62.5,1722.9354838709678,5.952857142857143,4.290322580645161,187160.0,151.05806451612904,151.6032258064516,1834.7096774193549,9293.64193548387,289524.6451612903,5.241935483870968,68.11999999999999,80.9483870967742,1046.0967741935483,5.858064516129033
2003-01-20,11203.396811111112,817.7387096774194,66.4,1674.8387096774193,128.06509677419353,62.5,1715.7096774193549,5.944285714285714,4.306451612903226,187224.44444444444,151.06129032258065,151.66451612903225,1836.1935483870968,9293.83870967742,289530.9032258064,5.2387096774193544,68.1211111111111,80.86774193548388,1045.9354838709678,5.861290322580645
2003-01-21,11204.937222222223,817.7354838709678,66.4,1675.9354838709678,128.0868387096774,62.5,1708.483870967742,5.935714285714286,4.32258064516129,187288.88888888888,151.06451612903226,151.7258064516129,1837.6774193548388,9294.035483870968,289537.1612903226,5.235483870967742,68.12222222222222,80.78709677419356,1045.774193548387,5.864516129032258
2003-01-22,11206.477633333334,817.7322580645161,66.4,1677.032258064516,128.10858064516128,62.5,1701.258064516129,5.927142857142857,4.338709677419355,187353.33333333334,151.06774193548387,151.78709677419354,1839.1612903225807,9294.232258064516,289543.4193548387,5.232258064516129,68.12333333333333,80.70645161290324,1045.6129032258063,5.867741935483871
2003-01-23,11208.018044444445,817.7290322580645,66.4,1678.1290322580644,128.13032258064516,62.5,1694.032258064516,5.918571428571429,4.354838709677419,187417.77777777778,151.07096774193548,151.8483870967742,1840.6451612903227,9294.429032258065,289549.67741935485,5.2290322580645165,68.12444444444444,80.6258064516129,1045.4516129032259,5.870967741935484
2003-01-24,11209.558455555556,817.7258064516129,66.4,1679.225806451613,128.15206451612903,62.5,1686.8064516129032,5.91,4.370967741935484,187482.22222222222,151.0741935483871,151.90967741935484,1842.1290322580646,9294.625806451613,289555.93548387097,5.225806451612903,68.12555555555555,80.54516129032258,1045.2903225806451,5.874193548387097
2003-01-25,11211.098866666667,817.7225806451613,66.4,1680.3225806451612,128.1738064516129,62.5,1679.5806451612902,5.908571428571428,4.387096774193548,187546.66666666666,151.0774193548387,151.97096774193548,1843.6129032258063,9294.822580645163,289562.1935483871,5.22258064516129,68.12666666666667,80.46451612903226,1045.1290322580646,5.87741935483871
